Equipment Condition,Number of Equipment,Equipment Service Time,Materials Quantity,Materials Transport Environment,Materials Procurement,Worker Capability,Worker Sense of Responsibility,Worker Health,Worker Experience,Worker Education,Worker Training,Worker Expertise,Worker Motivation,Worker Attitude,Work Space,Prefabrication,Working Field Accessibility,Advance Work,Work Method,Work Environment,Crew Composition,Work Difficulty,Work Quantity,Manager Capability,Management System,Construction Plan,Design Documents,Permission,Work Order,Claim,Safety/Accidents,Work Delay,Rework,Work Continuity,Information Technology,Productivity,Productivity
0.283,0.354,0.29,0.31,0.297,0.332,0.314,0.351,0.289,0.445,0.379,0.306,0.384,0.328,0.365,0.544,0.451,0.371,0.362,0.497,0.478,0.515,0.486,0.439,0.365,0.463,0.388,0.369,0.348,0.337,0.423,0.436,0.443,0.45,0.54,0.604,,
3,3,3,2,5,4,2,1,4,2,4,3,4,3,4,2,1,2,1,5,2,4,2,4,5,1,2,1,3,4,4,3,5,5,1,3,42.167,42.167
3,5,5,5,2,3,5,4,4,3,1,3,4,3,5,5,1,1,2,1,4,1,3,1,1,3,4,5,4,4,3,1,4,4,2,3,43.463,43.463
3,5,3,4,3,2,4,4,3,5,3,3,3,3,3,2,4,2,3,5,1,5,5,4,2,3,5,1,3,1,4,3,1,2,2,2,44.206,44.206
4,3,5,5,1,3,3,2,1,2,1,3,3,5,4,3,5,3,3,2,1,3,3,4,1,3,4,2,4,5,4,3,2,5,1,3,42.785,42.785
2,3,2,5,2,2,5,1,4,2,2,3,4,1,1,3,1,5,2,2,5,1,5,2,5,5,3,5,4,4,1,3,1,3,2,2,40.458,40.458
2,3,4,5,1,1,3,3,1,1,3,2,5,4,5,4,5,5,3,5,4,3,1,4,2,2,2,5,3,2,1,2,2,4,1,1,41.178,41.178
1,2,1,3,5,4,3,4,2,1,3,3,4,4,3,3,4,1,4,2,4,5,1,1,2,1,4,3,1,2,1,3,2,4,1,2,37.091,37.091
4,4,4,5,5,1,3,2,3,2,1,3,3,4,4,5,4,4,1,1,5,3,4,5,3,1,5,5,4,1,5,5,2,2,4,2,47.159,47.159
2,5,4,2,3,1,5,5,4,1,5,5,3,3,3,5,2,3,1,4,1,4,3,4,5,1,5,3,1,3,4,2,1,2,3,5,44.999,44.999
3,1,2,1,1,5,4,4,5,2,4,2,5,2,4,4,4,5,4,2,3,3,2,3,1,2,2,2,1,1,2,2,3,5,1,5,41.101,41.101
3,2,3,1,5,4,5,2,4,2,4,3,4,4,1,4,3,1,3,3,1,3,1,4,5,1,5,2,4,2,3,5,1,4,3,3,42.413,42.413
3,4,1,1,3,1,1,5,5,5,5,5,5,3,3,3,3,5,3,5,3,5,4,3,5,1,3,4,5,3,4,1,5,1,5,4,50.52,50.52
3,5,1,1,1,2,1,2,3,1,3,5,4,4,1,1,3,1,4,4,2,4,3,3,2,5,3,3,2,5,1,4,5,3,1,5,40.872,40.872
5,5,4,1,5,2,3,5,5,4,2,4,2,5,1,4,1,3,4,1,4,4,4,4,1,3,2,1,3,3,5,2,4,5,5,4,47.917,47.917
5,5,5,5,3,3,2,1,4,1,2,3,1,1,1,4,3,1,2,1,4,3,5,2,3,5,1,4,3,2,3,5,3,1,5,1,40.815,40.815
2,5,4,2,4,2,2,5,3,1,3,4,4,1,5,3,2,5,4,2,1,1,4,4,1,5,3,1,1,3,3,3,5,4,2,4,42.897,42.897
1,4,5,2,5,5,5,2,1,3,5,5,2,5,4,2,5,5,5,5,2,1,1,2,4,5,1,2,2,4,3,5,5,5,5,5,51.01,51.01
1,4,4,3,4,2,5,1,3,4,5,2,5,1,5,3,1,4,2,4,2,2,5,1,5,3,2,5,2,1,1,3,4,3,3,2,42.472,42.472
4,2,4,3,1,4,5,5,1,2,3,5,1,1,5,5,4,3,3,2,5,4,3,4,3,4,4,5,3,3,2,4,1,1,4,3,46.498,46.498
1,3,3,2,1,2,2,1,5,2,1,5,1,5,2,3,1,2,3,5,3,5,4,1,2,4,2,5,5,4,1,5,5,1,5,5,43.84,43.84
4,5,5,4,2,4,3,3,4,3,3,4,2,5,4,3,4,5,1,4,4,4,5,2,3,2,3,2,5,2,2,3,5,4,5,4,50.772,50.772
2,4,5,4,3,1,4,5,5,4,2,1,4,1,1,3,5,4,2,1,3,1,1,4,2,1,1,4,1,1,1,3,1,4,1,5,37.483,37.483
5,3,1,2,2,5,5,2,5,4,4,3,2,1,2,5,5,5,1,5,3,2,4,1,5,1,4,3,4,3,2,4,2,5,3,3,46.43,46.43
5,1,4,1,5,1,2,4,3,1,5,5,4,5,2,2,5,5,1,4,5,3,1,5,4,5,5,5,5,5,5,1,4,4,2,3,49.895,49.895
5,4,1,2,4,4,5,4,4,4,4,4,1,5,5,5,1,5,1,2,3,5,4,5,4,2,2,5,5,5,4,1,4,4,1,5,50.978,50.978
5,5,4,4,4,2,5,2,3,4,1,2,3,3,3,2,5,1,4,5,2,5,1,4,5,1,4,3,2,4,5,2,3,5,5,1,46.859,46.859
2,1,1,1,4,1,5,3,1,3,3,3,3,5,1,1,4,3,4,5,5,4,1,3,1,3,1,5,4,2,1,4,5,5,1,5,42.391,42.391
1,2,5,2,1,2,4,5,5,2,2,1,1,4,1,2,5,5,1,3,1,3,5,2,1,4,2,5,5,4,1,4,3,2,3,3,40.629,40.629
1,4,3,3,5,3,2,3,4,3,2,1,4,3,4,2,4,4,5,5,5,5,5,1,1,3,3,1,3,4,2,4,4,5,5,1,47.296,47.296
1,4,3,1,2,1,1,2,3,5,2,4,5,1,4,4,4,5,4,1,1,2,2,5,4,1,4,2,5,4,4,4,2,4,3,5,44.121,44.121
3,1,2,5,4,4,1,1,1,1,5,2,4,2,5,5,3,1,2,2,3,5,1,3,4,3,4,3,1,3,2,1,3,4,1,1,38.168,38.168
4,1,1,5,4,2,2,5,4,1,2,3,4,3,5,1,1,5,4,2,3,1,2,1,1,1,3,5,3,2,2,2,4,1,3,3,36.762,36.762
2,3,1,1,3,5,3,4,4,1,3,4,2,4,5,4,4,1,5,2,3,3,5,3,5,3,3,4,5,3,4,1,2,5,1,5,46.302,46.302
3,3,4,1,3,4,1,3,4,3,4,3,5,3,2,3,2,4,2,5,2,1,3,2,1,4,1,2,1,1,3,2,2,3,2,3,37.857,37.857
5,2,1,1,3,3,4,3,5,4,2,5,5,5,5,5,3,4,1,2,3,2,5,5,4,3,1,1,2,4,2,1,4,3,4,3,45.845,45.845
3,1,5,2,1,4,3,5,2,1,3,2,2,5,2,3,1,3,2,5,1,1,2,2,1,4,5,5,5,4,1,1,1,2,5,2,37.953,37.953
3,2,4,1,1,2,3,3,3,2,3,4,4,1,3,4,5,3,5,4,3,4,2,2,2,3,5,5,1,3,4,5,1,1,1,2,41.522,41.522
4,1,5,4,2,2,3,4,3,1,4,3,2,3,1,5,3,2,2,5,5,1,2,2,4,4,4,3,3,4,3,4,4,1,1,3,42.372,42.372
4,2,3,2,4,1,1,5,3,3,1,5,2,4,1,3,5,1,3,2,2,4,2,3,2,3,5,5,1,3,2,2,2,3,2,4,39.831,39.831
5,4,3,2,3,1,3,5,5,2,1,5,3,3,5,5,4,1,1,3,1,3,2,1,4,3,3,2,1,5,1,5,1,2,2,1,39.042,39.042
4,1,2,5,2,5,3,4,4,2,4,5,1,5,5,3,5,1,1,2,4,4,1,2,2,3,1,1,4,4,3,3,1,4,5,2,42.451,42.451
4,2,5,2,2,4,4,2,2,5,3,1,3,4,5,1,5,5,4,5,2,1,2,2,3,2,2,4,3,5,2,4,1,2,3,4,43.204,43.204
2,5,4,3,2,5,5,1,5,3,3,5,3,1,2,4,3,2,1,4,1,4,3,3,3,5,1,4,1,5,4,3,2,2,4,3,44.257,44.257
3,5,1,2,1,3,5,1,5,4,3,5,4,5,4,1,2,5,3,1,3,3,5,4,1,4,3,3,1,4,3,4,1,1,1,3,41.762,41.762
4,4,2,5,3,2,3,3,1,5,3,4,3,5,3,1,4,5,5,3,1,3,3,2,3,3,4,3,5,2,2,1,3,2,2,2,42.209,42.209
5,5,3,1,1,4,3,3,3,3,4,5,3,5,4,4,1,1,1,5,2,3,2,2,4,2,4,3,1,1,1,1,3,1,2,4,39.545,39.545
2,5,5,1,5,4,2,1,5,1,2,5,5,5,5,3,4,1,4,2,4,2,1,3,1,1,4,1,1,1,1,2,1,2,2,1,36.201,36.201
3,1,3,1,1,3,3,1,4,4,2,3,4,5,2,5,5,5,4,2,2,5,3,2,4,4,1,3,2,2,5,2,2,1,4,2,42.494,42.494
1,2,4,3,5,4,2,1,2,2,4,1,5,1,3,2,3,1,3,3,4,5,1,1,3,2,1,1,5,4,3,3,1,5,3,1,37.667,37.667
3,4,4,2,1,5,4,1,5,5,5,4,1,2,4,2,2,2,3,4,4,2,3,2,3,1,1,1,5,4,3,1,1,2,3,4,40.469,40.469
3,1,5,2,1,3,4,2,5,1,2,1,1,4,3,4,4,5,1,2,1,1,1,2,2,2,2,4,1,4,1,5,4,1,3,5,36.886,36.886
2,4,1,5,5,3,2,5,1,3,4,5,4,5,1,4,5,1,5,5,1,5,5,1,1,3,2,2,1,5,4,3,5,3,4,2,47.15,47.15
3,4,2,3,5,5,5,1,3,4,1,1,3,5,5,3,5,4,3,1,1,5,3,3,5,4,2,4,1,4,2,2,3,2,4,4,45.72,45.72
1,1,5,5,4,2,4,2,4,5,4,2,5,5,1,1,3,3,4,5,5,2,3,4,4,5,4,4,4,5,2,4,2,3,4,4,49.74,49.74
5,2,1,5,1,1,2,1,5,1,4,3,2,2,3,5,3,1,2,4,5,1,1,2,5,1,2,4,3,4,3,3,5,2,1,4,39.419,39.419
2,2,1,2,5,1,5,5,1,5,5,5,5,2,1,2,4,5,1,2,1,4,4,4,5,4,4,4,4,2,2,5,4,1,1,3,44.918,44.918
3,2,2,3,3,4,1,2,5,4,2,2,1,1,5,3,3,1,1,5,4,2,1,1,4,3,5,5,2,3,1,3,3,3,5,4,41.371,41.371
1,3,2,3,2,3,1,4,5,5,2,4,3,1,4,3,3,1,2,2,2,2,3,5,1,2,1,1,1,1,5,4,1,2,5,3,37.915,37.915
3,5,1,3,4,1,4,2,4,4,1,5,3,4,4,5,1,5,5,5,3,2,5,2,1,5,4,4,1,5,3,5,2,2,4,2,47.523,47.523
5,5,2,4,1,3,2,1,3,3,3,2,4,1,2,2,5,1,3,4,4,2,1,3,4,3,1,4,3,3,3,1,4,2,5,3,41.012,41.012
2,4,5,4,4,3,3,5,3,5,1,5,1,4,5,5,1,4,2,5,3,4,3,3,3,5,1,2,1,1,2,3,4,2,1,1,43.399,43.399
2,4,4,5,4,1,3,2,2,2,2,4,2,1,4,3,2,1,4,2,3,4,3,2,2,2,5,2,5,4,3,2,1,2,2,3,38.837,38.837
1,1,2,3,1,4,2,4,4,1,3,3,4,2,5,2,2,3,4,5,2,2,2,4,2,1,5,1,1,3,5,5,5,4,4,1,41.162,41.162
3,4,4,1,5,2,1,4,1,4,4,2,4,3,1,2,1,4,5,4,2,1,3,4,1,5,2,1,2,5,1,2,2,4,5,4,41.493,41.493
5,5,3,1,4,3,4,3,4,5,1,4,1,5,2,2,2,5,5,4,1,4,2,3,3,1,3,4,5,1,1,3,3,1,3,5,43.491,43.491
1,2,4,4,4,1,5,3,4,2,5,4,1,2,1,4,3,3,4,3,3,1,2,2,3,5,1,2,2,3,4,5,5,5,4,4,44.64,44.64
2,3,4,4,4,4,5,2,2,2,2,1,1,1,3,5,2,2,1,1,5,4,2,5,2,5,2,2,2,1,3,4,4,2,1,5,40.832,40.832
4,4,4,4,4,1,2,2,2,2,3,4,2,1,1,1,2,5,5,1,5,4,2,5,4,2,1,1,5,1,1,2,4,4,1,4,39.356,39.356
1,1,1,4,5,1,2,1,4,2,2,1,1,2,5,2,1,5,2,5,5,1,4,5,5,4,5,5,1,2,2,3,2,4,2,3,40.801,40.801
1,1,2,4,4,4,5,1,4,4,5,2,1,5,4,4,1,3,2,2,5,3,2,1,4,5,5,5,1,2,1,1,1,1,1,4,39.915,39.915
4,2,3,5,1,2,5,4,2,4,2,2,2,4,2,2,4,4,2,2,2,3,2,1,2,5,4,4,1,3,3,2,2,1,3,2,38.476,38.476
5,2,4,3,5,4,1,5,1,1,3,4,2,3,5,4,2,3,1,5,3,1,3,5,5,3,3,3,3,5,4,4,1,4,4,1,45.064,45.064
1,1,5,4,1,5,5,4,1,3,2,5,3,3,5,4,3,5,4,3,1,2,4,3,1,3,1,2,3,5,2,1,2,2,5,1,41.204,41.204
1,5,1,5,4,1,5,3,4,2,5,4,2,3,3,5,1,5,3,4,1,5,4,1,2,3,3,5,2,3,2,5,2,2,1,4,44.187,44.187
1,3,4,3,4,3,5,1,4,2,2,5,4,1,4,4,4,1,1,5,4,4,5,3,1,2,2,5,2,4,2,2,5,4,3,4,45.84,45.84
3,5,5,4,3,3,5,3,2,1,5,5,2,1,1,4,5,5,1,4,5,3,3,4,1,3,1,4,4,5,2,1,2,3,1,1,42.87,42.87
4,2,4,1,5,5,5,5,2,4,5,3,4,1,5,2,3,2,3,2,5,5,4,5,2,4,1,3,3,3,1,1,4,5,1,1,45.164,45.164
3,1,1,3,2,3,3,1,2,4,1,1,5,4,2,2,5,4,4,2,5,1,5,3,5,1,1,3,4,5,3,3,1,5,2,4,41.858,41.858
2,4,2,5,4,1,1,1,4,1,4,5,3,1,2,4,5,5,4,3,1,4,5,4,2,1,5,2,2,4,4,2,5,5,5,5,47.767,47.767
3,4,4,4,2,4,5,3,5,5,5,4,2,5,3,3,4,4,1,2,2,2,2,1,1,2,3,5,4,5,3,3,4,4,5,2,46.609,46.609
5,2,1,5,1,1,4,4,2,4,5,1,3,1,1,5,3,3,3,4,3,2,2,4,4,1,3,1,5,2,3,4,2,1,4,4,41.903,41.903
1,1,1,5,5,5,5,3,2,1,1,3,2,3,2,4,1,2,3,5,3,1,2,4,3,4,5,1,1,2,4,3,5,1,5,3,41.119,41.119
5,2,1,4,5,4,1,4,2,4,2,1,2,4,2,2,4,1,2,2,4,2,3,5,1,3,1,5,5,3,2,5,1,3,1,5,41.109,41.109
4,5,1,1,2,5,4,2,1,4,2,1,2,3,1,3,5,3,1,1,4,4,1,2,2,1,4,4,1,5,2,3,4,5,1,1,37.733,37.733
